我认为“独狼”玩家在 Ingress 里很难体验到游戏的核心乐趣（如高级塔、BAF）。,S,1.5,,
当我需要交换 Key 或者道具时，我宁愿扔在地上让小号捡，也不愿意约人面交。,S,-2,,
作为团队的一员让我感到安全和归属感。,S,2,,
我玩游戏就是为了逃避现实中的社交压力。,S,-2,,
我愿意为了团队跨城市、跨省甚至跨国运输 Key。,S,2,A,1
我觉得指挥者 (Intel) 在幕后指手画脚很烦人。,S,-1,C,-0.5
在 Ingress 社群里，我有几个能在现实生活中约饭的好朋友。,S,2,,
如果我的乱连 block 了队友的规划，我会感到非常内疚并去道歉。,S,1,A,0.5
哪怕队友很菜，我也愿意花时间带新人。,S,2,,
我只关心我自己的数据 (AP / 牌子)，团队和阵营的得分与我无关。,S,-1.5,A,1
协作建立一个完美的控制场 (完美多重/Field Art) 比我自己炸毁一千个塔更有成就感。,S,1.5,A,-1
我尽量隐藏自己的行踪，不仅是针对敌人，也是针对队友。,S,-2,C,0.5
本地的社群氛围是我留在这个游戏里的唯一原因。,S,2,,
我认为游戏里的“人际政治”和“抓内鬼”比游戏本身更有趣。,S,-0.5,C,1
如果需要，我愿意把我的账号密码交给极度信任的队友代练。,S,2,C,1
我更喜欢那种不需要配合、想上就上想走就走的游击战。,S,-1,C,1
无论是蓝军还是绿军，只要是玩家我都愿意交流。,S,1,C,-1
独自一人漫步在城市街头 Hack 塔是我最享受的时刻。,S,-2,A,-1
我经常在群里分享我的战果截图寻求认可。,S,1,A,1
我觉得为了游戏去认识陌生人是一件很危险或者没必要的事。,S,-1.5,,
集体的荣誉感 (得分/获胜) 能让我兴奋好几天。,S,1.5,C,1
我玩 Ingress 就像玩单机游戏一样，基本不看频道。,S,-2,,
在大型战役 (例如 XM Anomaly) 中，我愿意做一个默默无闻的充电员或运 Key 员。,S,1.5,,
必须要和人打交道这一点是这个游戏最大的劝退点。,S,-2,,
我很享受在聊天群组里讨论战术和人员配置。,S,1.5,A,0.5
如果我所在的区域没有队友，我可能早就弃坑了。,S,2,,
我总是把多余的高级道具送给需要的队友，而不是回收。,S,1.5,,
我不喜欢被“安排”，我要玩我自己的游戏。,S,-1.5,,
认识各行各业的人是 Ingress 给我最大的收获。,S,2,,
我对于“跨阵营情侣” (XF Couple) 持祝福态度，这证明社交高于阵营。,S,1,C,-1
我不希望现实中的朋友或同事知道我在玩这个游戏。,S,-1,,
当队友被欺负时，我会第一时间站出来在公屏或现场帮忙。,S,1.5,C,1
我觉得那种几十人接力的大型盖场 (BAF) 主要是为了作秀，不仅累还扰民。,S,-1,A,-0.5
即使在游戏之外，我也愿意为社群贡献力量（如制作周边、维护服务器）。,S,2,,
相比于听指挥，我更喜欢当那个制定计划的人。,S,1,C,0.5
如果没有了社交，Ingress 就只是一个简陋的谷歌地图插件。,S,2,,
看见敌对阵营的 8 级塔，我的第一反应是把它炸平，而不是去 Hack。,C,2,A,0.5
我更喜欢在半夜或没人的时候出门玩游戏，避开人群。,S,-2,,
我会为了拼出一个完美的组图任务走上一整天。,A,-2,C,-1
如果我的床 Po 被攻击，我会立刻打开游戏充电防御。,C,2,,
即使不需要 Key，我也会 Hack 每一个路过的 Portal 以增加 UPV。,A,1,C,-0.5
我手里常备毒 (Jarvis/ADA)，为了制造更完美的 Link 甚至不惜毒掉队友的挡线。,C,1,A,1
我会为了一个 BAF 计划，驱车几百公里去运送 Key。,S,1.5,A,1
游戏的数据 (AP/MU) 是我玩下去的唯一动力。,A,2,,
我喜欢去那些从未去过的城市，通过 Ingress 探索地标。,A,-2,,
如果队友的行动不符合最优解，我会直接指出来甚至感到生气。,A,1,S,-0.5
我更倾向于当一个独行侠，不想听从所谓的“战术指挥”。,S,-2,,
看到白色的 Portal，如果不插满脚，我会觉得很难受。,A,1,,
我通过 Intel Map 做规划的时间比实际在外面跑的时间还多。,C,1,A,1
我不介意哪怕输掉周期计分点，只要我们玩得开心。,C,-2,S,1
这种 LBG (基于位置的游戏) 的核心就是占领地盘，把对方赶出去。,C,2,,
我经常给新玩家送装备，带他们升级。,S,2,,
我玩游戏主要是为了收集精美的任务图标，而不是为了分数。,A,-2,C,-1
我会为了炸掉敌人的一个高级 Farm 而专门跑很远的路。,C,2,A,1
看到地图上密密麻麻的敌方控制场，我会感到兴奋并充满斗志。,C,1.5,,
我不在乎阵营计分板上的得分，那只是无意义的数字。,A,-1.5,,
我认为游戏中的“复仇”是合理的，你炸我一个，我炸你全家。,C,2,,
为了建立 BAF，通过战术阻断其他玩家（哪怕是友军）的游戏体验是合理的。,C,1.5,S,-0.5
我玩 Ingress 是为了走路健身，顺便看看风景。,C,-2,A,-1
我会定期查看 Intel Map 来规划我的行动路线。,A,1,C,0.5
当我占据了一个 Portal，我认为它就是“我的”，谁动它就是在挑衅我。,C,2,,
我尽量避免与敌对阵营玩家发生正面冲突（例如 ta 在插塔时我就不炸）。,C,-2,,
破坏别人的劳动成果（炸塔）比自己建设（连线）更让我感到快乐。,C,2,A,-1
我喜欢研究游戏机制的极限，例如多重控制场的最大层数。,A,2,,
只要能赢，使用一些处于规则灰色地带的手段也是可以接受的。,C,1.5,A,1
我对游戏中的剧情解谜比占领地盘更感兴趣。,A,-1.5,C,-1
如果必须在“阵营胜利”和“个人全成就徽章”中选一个，我选徽章。,A,2,S,-1
我经常在深夜出门行动，因为那时候效率最高且敌人最少。,S,-1,C,1
看到白色的 Portal，我有时候懒得去插脚，除非为了做任务。,A,-1,,
即使没有奖励，我也愿意为了恶心对手而消耗大量道具。,C,2,,
我认为 Ingress 本质上是一个现代战争模拟器。,C,2,,
我认为 Ingress 本质上是一个加上了打卡功能的旅游软件。,C,-2,A,-2
我会为了游戏特意购买移动电源、更好的鞋子或交通工具。,A,1,,
当我看到敌对阵营的玩家在公频嘲讽时，我会怼回去。,C,1,S,0.5
我不在乎谁控制了这个区域，只要有高级塔让我摸道具就行。,C,-1,A,1
摧毁对手精心策划的“大新闻” (Big Op) 是我玩游戏的最高潮体验。,C,2,,
相比于激烈的攻防，我更喜欢在地图上画画 (Field Art)。,A,-2,C,-1
我有极强的胜负欲，输掉一个 Cycle 会让我很不爽。,C,2,A,1
我认为那些在这个游戏里投入太多精力和金钱的人有点“魔怔”了。,C,-1.5,A,-1
为了保护关键 Portal，我愿意在寒风或大雨中站立半小时。,C,1.5,A,1
我不介意和敌对阵营的玩家在现实中成为朋友。,C,-2,S,1
如果敌对阵营占领了我的活动区域，我会感到寝食难安。,C,2,,
我玩游戏是为了放松，高强度的对抗让我感到压力。,C,-2,,
我只在方便的时候玩，绝对不会为了游戏改变我的现实行程。,A,-1,C,-1
我享受作为“猎人”的感觉，追踪并清除特定玩家的塔。,C,2,S,-1
那些只知道炸塔不知道建设的玩家很无聊。,C,-1,A,1
我对 Portal Key 的管理非常严格，每一把都有它的用途。,A,1.5,,
游戏的乐趣在于过程中的风景，而不是结果的输赢。,A,-2,C,-1
必须让敌人通过痛苦来记住我的 Agent ID。,C,2,S,-0.5
我甚至可以为了不给敌人送 AP 而不去连接某些线。,C,1.5,A,1
和平发育互刷 AP 才是双赢，何必打打杀杀。,C,-2,A,1
我认为在车上玩游戏（Cargress）比走路玩效率高多了，所以我更喜欢开车玩。,A,1,C,0.5
我会为了获得某个绝版的纪念牌子而付出巨大的努力。,A,2,,
看到 Machina (红军) 的塔，我会优先去炸掉它而不是敌对阵营的。,C,-1,A,0.5
我对于 Niantic 的剧情更新完全不感兴趣，只关心新功能。,A,1,,
如果游戏关闭了服务器，我会感到我人生的一部分被抽空了。,S,1,A,1
我经常使用无人机 (Drone) 漫游，这比出门方便多了。,A,-1,C,-1
我会为了保持连续签到 (Sojourner) 甚至在生病时也坚持 Hack 一次。,A,2,,
对于那种故意把 Key 丢在不可达位置的行为，我感到非常反感。,C,-0.5,A,-0.5
我认为利用游戏机制漏洞（但不违规）是高智商的体现。,A,1.5,C,1
当我在外地旅游时，打开 Scanner 是我了解这个城市的第一步。,A,-2,C,-1
我花在 OPR 上审核或申请 Portal 的时间，比开 Scanner 炸塔的时间还多。,C,-1.5,A,1
为了获得更多的物资/AP，我坚持每次 Hack 都必须画图。,A,1.5,C,0.5
达到 16 级后，我会毫不犹豫地选择转生以获得新的图标点缀。,A,2,,
收集玩家的 BioCard 和官方 Swag 周边是我玩这个游戏的一大乐趣。,S,2,C,-1
我会在 Checkpoint 前几分钟疯狂操作，只为确保分数计入当前周期。,C,2,A,1
看到有人与对方阵营互刷 AP/数据，哪怕是己方阵营，我也会感到厌恶。,C,1.5,S,-0.5
我经常向身边完全不玩游戏的朋友安利 Ingress，试图把他们拉入坑。,S,2,,
如果由于 GPS 漂移让我意外摸到了一个很难到达的塔，我会暗自窃喜。,A,1,,
为了不破坏特定的 Link 规划，我宁愿绕路也不连任何多余的线。,A,1.5,C,0.5
哪怕没有 Field，光是看着 Scanner 里的 XM 能量流动我就觉得很治愈。,A,-1.5,C,-1
我对 Overclock 功能这种考验手速的操作感到非常挫败或厌烦。,A,-1,C,-0.5
我认为利用大号带小号当仓库是不可饶恕的作弊行为。,C,1.5,A,0.5
每到一个新城市，我做的第一件事是打开 Mission 列表看有没有好看的拼图。,A,-1.5,C,-1
为了让某个战略点自然掉电，我会故意不去给它充电。,C,1.5,A,1
比起占领大片区域，我更喜欢在极小的范围内做出极其复杂的针包。,A,2,C,-0.5
如果现实中的不可抗力（如封路、天气）阻止了我做任务，我会感到极度烦躁。,A,1.5,,
我对于清理背包里的垃圾道具感到莫名的解压。,A,-0.5,,
看到 Comm 里有人在对喷，我会截屏发到小群里大家一起吃瓜。,S,1.5,C,0.5
我认为能够熟练运用 IITC 等第三方插件是资深玩家的门槛。,A,1.5,C,1
比起游戏内的胜负，我更在意我的 OPR 达成数。,S,-1,A,1.5
只要看到红军 (Machina) 蔓延，我就觉得这是官方在恶心玩家。,C,1,A,-0.5
我会为了阵营的全球比分而感到与有荣焉。,S,1,C,1.5
